,artist,album,track_name,track_id,release_date,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
94,Taylor Swift,Speak Now (Deluxe Edition),Mean,4N60XfcTE1ysLZGbYgnYXq,2010-10-25,0.568,0.761,4,-3.987,1,0.0459,0.0,0.217,0.789,163.974,237733,4
95,Taylor Swift,Speak Now (Deluxe Edition),Mine - POP Mix,0fAbfDiuQiUwV7FUcFfRGY,2010-10-25,0.695,0.723,7,-3.806,1,0.0285,1.2e-06,0.1,0.679,121.011,230333,4
96,One Direction,Made In The A.M. (Deluxe Edition),Drag Me Down,2K87XMYnUMqLcX3zvtAF4G,2015-11-13,0.73,0.703,0,-5.672,0,0.0369,0.0,0.0657,0.595,138.113,192120,4
97,One Direction,Made In The A.M. (Deluxe Edition),Perfect,3NLnwwAQbbFKcEcV8hDItk,2015-11-13,0.647,0.823,2,-5.231,1,0.0762,0.0,0.119,0.396,99.933,230333,4
98,One Direction,FOUR (Deluxe),Steal My Girl,2Bs4jQEGMycglOfWPBqrVG,2014-11-17,0.536,0.768,10,-5.948,0,0.0347,0.0,0.114,0.545,77.217,228133,4
99,One Direction,FOUR (Deluxe),Night Changes,5O2P9iiztwhomNh8xkR9lJ,2014-11-17,0.672,0.52,8,-7.747,1,0.0353,0.0,0.115,0.37,120.001,226600,4
100,One Direction,FOUR (Deluxe),No Control,4JaLkM90MJutDAl5jD9BZX,2014-11-17,0.558,0.916,1,-3.145,0,0.0839,0.0,0.0296,0.85,142.984,199720,4
101,One Direction,Midnight Memories (Deluxe),Best Song Ever,5T7ZFtCcOgkpjxcuaeZbw0,2013-11-25,0.652,0.877,1,-2.986,1,0.0465,0.0,0.0789,0.486,118.491,200107,4
102,One Direction,Midnight Memories (Deluxe),Midnight Memories,5wjmqUGN7vrAqFqDWrywlZ,2013-11-25,0.432,0.868,6,-2.01,0,0.0882,0.0,0.233,0.567,156.128,176320,4
103,One Direction,Midnight Memories (Deluxe),You & I,2afCBiru10AFckfOa49wIa,2013-11-25,0.574,0.329,1,-6.829,1,0.0274,0.0,0.0986,0.356,130.993,237933,4
